Id,Content,Context Name,Child,Rel,Child,Rel,Child,Rel,,,,,,,,,,,,,,,,,,,,,,,,,,
0,[ROOT NODE],,1,el,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fuzzy set,fuzzy set,2,d,3,d,10,ex,25,el,45,el,50,el,,,74,el,82,el,83,el,96,el,138,el,142,el,145,el,162,d,163,d
2,Let $A$ be a %fuzzy set|fuzzy set%,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,%fuzzy set|Fuzzy sets% are characterized by membership (characteristic function) $f_A(x)$,cf,5,d,6,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"%cf|$f_A(x)$% associates each point in %X|$X$% with a real number in the interval $[0,1]$",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"The value of %cf|$f_A(x)$% represents the ""grade of membership"" of $x$ in $A$",,7,el,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"The nearer the vaue of %cf|$f_A(x)$% to unity, the higher the grade of membership of $x$ in %A|$A$%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Equality function for %fuzzy set|fuzzy sets%,equality,28,d,29,d,30,d,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Real number example of %fuzzy set|fuzzy sets%,r,11,d,13,d,21,d,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Let %X|$X$% be the real line $R$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Let %A|$A$% be a set of %fuzzy set|fuzzy numbers% which are much greater than 1,rA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Some representative values of %rcf|$f_A(x)$% for the %r|real number example%,,15,d,16,d,17,d,18,d,19,d,20,d,,,,,,,,,,,,,,,,,,,,
15,%rcf|$f_A(0)$%$ = 0$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,%rcf|$f_A(1)$%$ = 0$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,%rcf|$f_A(5)$%$ = 0.01$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,%rcf|$f_A(10)$%$ = 0.2$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,%rcf|$f_A(100)$%$ = 0.95$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,%rcf|$f_A(500)$%$ = 1$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,%cf|$f_A(x)$%,rcf,14,d,22,el,23,el,24,el,,,,,,,,,,,,,,,,,,,,,,,,
22,%cf|$f_A(x)$% is precise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,%cf|$f_A(x)$% is subjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,%cf|$f_A(x)$% characterizes %A|$A$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Functions over %fuzzy set|fuzzy sets%,,26,d,8,d,31,d,32,d,36,d,37,d,,,,,,,,,,,,,,,,,,,,
26,Emptiness function for %fuzzy set|fuzzy sets%,emptiness,27,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,A %fuzzy set|fuzzy set% is empty if and only if its %cf|membership function% is identically zero on %X|$X$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Two %fuzzy set|fuzzy sets% $A$ and $B$ are %equality|equal% if and only if %cf|$f_A(x)$%$ = $%cf|$f_B(x)$% for all $x$ in %X|$X$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Notationally, %equality|equality% is written as %fuzzy set|$A$%$ = $%fuzzy set|$B$%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Notationally, we will write %cf|$f_A$% $=$ %cf|$f_B$% to represent %cf|$f_A(x)$%$ = $%cf|$f_B(x)$%",,28,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Complement function for %fuzzy set|fuzzy sets%,complement,147,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Union function for %fuzzy set|fuzzy sets%,union,149,d,157,el,158,el,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Intersection function for %fuzzy set|fuzzy sets%,intersection,39,d,44,el,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,%A|$C$% $=$ %A|$A$% %intersection|$\cap$% %A|$B$%,intersection C,42,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"%intersection C|$f_C(x)$% $= \min[$%cf|$f_A(x)$%, %cf|$f_B(x)$%$], \; x \in $%X|$X$%",,43,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,%cf|$f_C$%$ = $%cf|$f_A$%$ \wedge $%cf|$f_B$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Like %union|union%, %intersection|$\cap$% has the associative property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Despite some resemblence, there are essential differences between a probability function/a probability density function and the %cf|membership function% of a %fuzzy set|fuzzy set%",,46,su,47,su,49,su,,,,,,,,,,,,,,,,,,,,,,,,,,
46,The %cf|membership function% has some resemblence to a probability function when %X|$X$% is a countable set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,The %cf|membership function% has some resemblence to a probability density function when %X|$X$% is a continuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,The notion of a %fuzzy set|fuzzy set% is completely nonstatistical in nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"The notion of ""belonging"" does not have the same role in %fuzzy set|fuzzy sets% as it does in %ordinary set|ordinary sets%",,51,el,52,su,54,su,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"The notion of ""belonging"" plays a fundamental role in the case of %ordinary set|ordinary sets%",,53,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"It is generally not meaningful to speak of a point %X|$x$% ""belonging"" to a %fuzzy set|fuzzy set% A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"In %ordinary set|ordinary sets%, the notion of ""belonging"" is meaningful in the trivial sense of %cf|$f_A(x)$% being positive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"It is more meaningful to speak of a point %X|x% ""belonging"" to a %fuzzy set|fuzzy set% A when introducing thresholds to the %cf|characteristic function% output.",,55,d,57,d,59,d,60,su,67,su,,,,,,,,,,,,,,,,,,,,,,
55,$\alpha$,alpha,56,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,$0 < $ %alpha|$\alpha$% $ < 1$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,$\beta$,beta,58,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,$0 < $ %beta|$\beta$% $ < 1$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,%alpha|$\alpha$%$ > $%beta|$\beta$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,%fuzzy set|Fuzzy sets% are useful,,75,su,78,su,79,su,,,,,,,,,,,,,,,,,,,,,,,,,,
75,%fuzzy set|Fuzzy sets% provide a natural way of dealing with a class of problems which stem from imprecision,,76,el,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,%fuzzy set|Fuzzy sets% are useful when source of imprecision is the absence of sharply defined criteria of %cf|class membership%,,77,el,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,%fuzzy set|Fuzzy sets% are more general than %ordinary set|ordinary sets%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,%fuzzy set|Fuzzy sets% may have a much wider scope of applicability than %ordinary set|ordinary sets%,,80,el,81,el,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,%fuzzy set|Fuzzy sets% are particularly applicable in the field of pattern classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,%fuzzy set|Fuzzy sets% are particularly applicable in the field of information processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,%cf|$f_{A'}$% $= 1 - $%cf|$f_A$%,,148,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,$A'$ is the %complement|complement% of %A|$A$%,A',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,%A|$C$% $= $%A|$A$% %union|$\cup$% %A|$B$%,,150,d,152,el,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"%cf|$f_c(x)$% $= \max[$%cf|$f_A(x)$%$, $%cf|$f_B(x)$%$], \; x \in $%X|$X$%",cf union,159,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,%cf union|$f_C$%$ = $%cf|$f_A$%$\vee$ %cf|$f_b$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,A more intuitively appealing way of defining %union|union%,,153,d,154,d,155,su,,,,,,,,,,,,,,,,,,,,,,,,,,
153,(less precise) The union of %A|A% and %A|B% is the smallest %fuzzy set|fuzzy set% %containment|containing% both %A|A% and %A|B%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"(more precise) If %A|D% is any %fuzzy set|fuzzy set% which contains both %A|A% and %A|B%, then it also %containment|contains% the %union|union% of %A|A% and %A|B%",alt cf union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,%alt cf union|This definition% is equivalent to the %cf union|alternative definition%,,156,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,(PICTURE OF PROOF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,%intersection|Intersection% can be defined analogously to the %cf union|definition of union%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,%union|Union% has the associative property,,160,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,%cf|$f_C$%$ = $%cf|$f_A$%$ \vee $%cf|$f_b$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,%A|$A$% $\cup ($%A|$B$%$ \cup $%A|$C$%$) = ($%A|$A$%$ \cup $%A|$B$%$) \cup $%A|$C$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Ordinary set,ordinary set,164,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,An %ordinary set|ordinary set% is a set with a two-valued characteristic function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Imprecision is sometimes caused by the absence of sharply defined criteria of %cf|class membership%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,